[Fri Nov  7 16:08:27 2025] PHP 8.2.12 Development Server (http://localhost:8000) started
[Sat Nov  8 07:03:22 2025] [::1]:50295 Accepted
[Sat Nov  8 07:03:22 2025] [::1]:50295 [200]: GET /api/auth/me
[Sat Nov  8 07:03:22 2025] [::1]:50295 Closing
[Sat Nov  8 07:03:22 2025] [::1]:57916 Accepted
[Sat Nov  8 07:03:22 2025] [::1]:57916 [200]: GET /api/auth/me
[Sat Nov  8 07:03:22 2025] [::1]:57916 Closing
[Sat Nov  8 07:03:22 2025] [::1]:49988 Accepted
[Sat Nov  8 07:03:22 2025] [::1]:49988 [200]: GET /api/auth/me
[Sat Nov  8 07:03:22 2025] [::1]:49988 Closing
[Sat Nov  8 07:03:22 2025] [::1]:65180 Accepted
[Sat Nov  8 07:03:22 2025] [::1]:65180 [200]: GET /api/auth/me
[Sat Nov  8 07:03:22 2025] [::1]:65180 Closing
[Sat Nov  8 07:03:22 2025] [::1]:54383 Accepted
[Sat Nov  8 07:03:22 2025] [::1]:54383 [200]: GET /api/auth/me
[Sat Nov  8 07:03:22 2025] [::1]:54383 Closing
[Sat Nov  8 07:03:46 2025] [::1]:52545 Accepted
[Sat Nov  8 07:03:46 2025] [::1]:52545 [200]: GET /api/applications
[Sat Nov  8 07:03:46 2025] [::1]:52545 Closing
[Sat Nov  8 07:03:46 2025] [::1]:65283 Accepted
[Sat Nov  8 07:03:46 2025] [::1]:65283 [200]: GET /api/applications
[Sat Nov  8 07:03:46 2025] [::1]:65283 Closing
[Sat Nov  8 07:03:48 2025] [::1]:61679 Accepted
[Sat Nov  8 07:03:48 2025] [::1]:56742 Accepted
[Sat Nov  8 07:03:48 2025] [::1]:61679 [200]: GET /api/auth/me
[Sat Nov  8 07:03:48 2025] [::1]:61679 Closing
[Sat Nov  8 07:03:49 2025] [::1]:56742 [200]: GET /api/applications
[Sat Nov  8 07:03:49 2025] [::1]:56742 Closing
[Sat Nov  8 07:03:49 2025] [::1]:57648 Accepted
[Sat Nov  8 07:03:49 2025] [::1]:55392 Accepted
[Sat Nov  8 07:03:49 2025] [::1]:57648 [200]: GET /api/auth/me
[Sat Nov  8 07:03:49 2025] [::1]:57648 Closing
[Sat Nov  8 07:03:49 2025] [::1]:55392 [200]: GET /api/applications
[Sat Nov  8 07:03:49 2025] [::1]:55392 Closing
[Sat Nov  8 07:06:24 2025] [::1]:58414 Accepted
[Sat Nov  8 07:06:25 2025] [::1]:58414 [200]: GET /api/applications
[Sat Nov  8 07:06:25 2025] [::1]:58414 Closing
[Sat Nov  8 07:06:25 2025] [::1]:53871 Accepted
[Sat Nov  8 07:06:25 2025] [::1]:53871 [200]: GET /api/applications
[Sat Nov  8 07:06:25 2025] [::1]:53871 Closing
[Sat Nov  8 07:06:26 2025] [::1]:56898 Accepted
[Sat Nov  8 07:06:26 2025] [::1]:59575 Accepted
[Sat Nov  8 07:06:26 2025] [::1]:56898 [200]: GET /api/auth/me
[Sat Nov  8 07:06:26 2025] [::1]:56898 Closing
[Sat Nov  8 07:06:26 2025] [::1]:59575 [200]: GET /api/applications
[Sat Nov  8 07:06:26 2025] [::1]:59575 Closing
[Sat Nov  8 07:06:26 2025] [::1]:53650 Accepted
[Sat Nov  8 07:06:26 2025] [::1]:53650 [200]: GET /api/auth/me
[Sat Nov  8 07:06:26 2025] [::1]:53650 Closing
[Sat Nov  8 07:06:26 2025] [::1]:64077 Accepted
[Sat Nov  8 07:06:27 2025] [::1]:64077 [200]: GET /api/applications
[Sat Nov  8 07:06:27 2025] [::1]:64077 Closing
[Sat Nov  8 07:07:22 2025] [::1]:54213 Accepted
[Sat Nov  8 07:07:22 2025] [::1]:54213 [200]: GET /api/auth/me
[Sat Nov  8 07:07:22 2025] [::1]:54213 Closing
[Sat Nov  8 07:07:22 2025] [::1]:55251 Accepted
[Sat Nov  8 07:07:22 2025] [::1]:55251 [200]: GET /api/auth/me
[Sat Nov  8 07:07:22 2025] [::1]:55251 Closing
[Sat Nov  8 07:07:22 2025] [::1]:52003 Accepted
[Sat Nov  8 07:07:22 2025] [::1]:52003 [200]: GET /api/auth/me
[Sat Nov  8 07:07:22 2025] [::1]:52003 Closing
[Sat Nov  8 07:07:22 2025] [::1]:50154 Accepted
[Sat Nov  8 07:07:23 2025] [::1]:50154 [200]: GET /api/auth/me
[Sat Nov  8 07:07:23 2025] [::1]:50154 Closing
[Sat Nov  8 07:07:23 2025] [::1]:63975 Accepted
[Sat Nov  8 07:07:23 2025] [::1]:63975 [200]: GET /api/auth/me
[Sat Nov  8 07:07:23 2025] [::1]:63975 Closing
[Sat Nov  8 07:07:23 2025] [::1]:62817 Accepted
[Sat Nov  8 07:07:23 2025] [::1]:62817 [200]: GET /api/auth/me
[Sat Nov  8 07:07:23 2025] [::1]:62817 Closing
[Sat Nov  8 07:11:08 2025] [::1]:55339 Accepted
[Sat Nov  8 07:11:08 2025] [::1]:55339 [200]: OPTIONS /api/auth/logout
[Sat Nov  8 07:11:08 2025] [::1]:55339 Closing
[Sat Nov  8 07:11:08 2025] [::1]:60538 Accepted
[Sat Nov  8 07:11:08 2025] [::1]:60538 [200]: POST /api/auth/logout
[Sat Nov  8 07:11:08 2025] [::1]:60538 Closing
[Sat Nov  8 07:11:24 2025] [::1]:52511 Accepted
[Sat Nov  8 07:11:24 2025] [::1]:52511 [200]: POST /api/auth/login
[Sat Nov  8 07:11:24 2025] [::1]:52511 Closing
[Sat Nov  8 07:11:24 2025] [::1]:60437 Accepted
[Sat Nov  8 07:11:24 2025] [::1]:60437 [200]: GET /api/auth/me
[Sat Nov  8 07:11:24 2025] [::1]:60437 Closing
[Sat Nov  8 07:11:24 2025] [::1]:50102 Accepted
[Sat Nov  8 07:11:24 2025] [::1]:50102 [200]: GET /api/auth/me
[Sat Nov  8 07:11:24 2025] [::1]:50102 Closing
[Sat Nov  8 07:11:24 2025] [::1]:56362 Accepted
[Sat Nov  8 07:11:24 2025] [::1]:56362 [200]: GET /api/auth/me
[Sat Nov  8 07:11:24 2025] [::1]:56362 Closing
[Sat Nov  8 07:11:24 2025] [::1]:59902 Accepted
[Sat Nov  8 07:11:24 2025] [::1]:59902 [200]: GET /api/auth/me
[Sat Nov  8 07:11:24 2025] [::1]:59902 Closing
[Sat Nov  8 07:11:24 2025] [::1]:56324 Accepted
[Sat Nov  8 07:11:24 2025] [::1]:56324 [200]: GET /api/auth/me
[Sat Nov  8 07:11:24 2025] [::1]:56324 Closing
[Sat Nov  8 07:11:24 2025] [::1]:53369 Accepted
[Sat Nov  8 07:11:25 2025] [::1]:53369 [200]: GET /api/auth/me
[Sat Nov  8 07:11:25 2025] [::1]:53369 Closing
[Sat Nov  8 07:12:15 2025] [::1]:64890 Accepted
[Sat Nov  8 07:12:15 2025] [::1]:64890 [200]: GET /api/auth/me
[Sat Nov  8 07:12:15 2025] [::1]:64890 Closing
[Sat Nov  8 07:12:15 2025] [::1]:60439 Accepted
[Sat Nov  8 07:12:15 2025] [::1]:60439 [200]: GET /api/auth/me
[Sat Nov  8 07:12:15 2025] [::1]:60439 Closing
[Sat Nov  8 07:12:15 2025] [::1]:64652 Accepted
[Sat Nov  8 07:12:15 2025] [::1]:64652 [200]: GET /api/auth/me
[Sat Nov  8 07:12:15 2025] [::1]:64652 Closing
[Sat Nov  8 07:12:15 2025] [::1]:49157 Accepted
[Sat Nov  8 07:12:15 2025] [::1]:49157 [200]: GET /api/auth/me
[Sat Nov  8 07:12:15 2025] [::1]:49157 Closing
[Sat Nov  8 07:12:15 2025] [::1]:53823 Accepted
[Sat Nov  8 07:12:16 2025] [::1]:53823 [200]: GET /api/auth/me
[Sat Nov  8 07:12:16 2025] [::1]:53823 Closing
[Sat Nov  8 07:12:16 2025] [::1]:65389 Accepted
[Sat Nov  8 07:12:16 2025] [::1]:65389 [200]: GET /api/auth/me
[Sat Nov  8 07:12:16 2025] [::1]:65389 Closing
[Sat Nov  8 07:12:18 2025] [::1]:63254 Accepted
[Sat Nov  8 07:12:19 2025] [::1]:63254 [200]: GET /api/applications
[Sat Nov  8 07:12:19 2025] [::1]:63254 Closing
[Sat Nov  8 07:12:19 2025] [::1]:62820 Accepted
[Sat Nov  8 07:12:19 2025] [::1]:62820 [200]: GET /api/applications
[Sat Nov  8 07:12:19 2025] [::1]:62820 Closing
[Sat Nov  8 07:14:34 2025] [::1]:59739 Accepted
[Sat Nov  8 07:14:34 2025] [::1]:59739 [200]: POST /api/auth/logout
[Sat Nov  8 07:14:34 2025] [::1]:59739 Closing
[Sat Nov  8 07:16:11 2025] [::1]:65472 Accepted
[Sat Nov  8 07:16:11 2025] [::1]:65472 [200]: POST /api/auth/login
[Sat Nov  8 07:16:11 2025] [::1]:65472 Closing
[Sat Nov  8 07:16:14 2025] [::1]:49635 Accepted
[Sat Nov  8 07:16:14 2025] [::1]:49635 [200]: GET /api/auth/me
[Sat Nov  8 07:16:14 2025] [::1]:49635 Closing
[Sat Nov  8 07:16:14 2025] [::1]:52373 Accepted
[Sat Nov  8 07:16:14 2025] [::1]:52373 [200]: GET /api/auth/me
[Sat Nov  8 07:16:14 2025] [::1]:52373 Closing
[Sat Nov  8 07:16:14 2025] [::1]:61319 Accepted
[Sat Nov  8 07:16:14 2025] [::1]:61319 [200]: GET /api/auth/me
[Sat Nov  8 07:16:14 2025] [::1]:61319 Closing
[Sat Nov  8 07:16:14 2025] [::1]:57752 Accepted
[Sat Nov  8 07:16:14 2025] [::1]:57752 [200]: GET /api/auth/me
[Sat Nov  8 07:16:14 2025] [::1]:57752 Closing
[Sat Nov  8 07:16:14 2025] [::1]:63009 Accepted
[Sat Nov  8 07:16:14 2025] [::1]:63009 [200]: GET /api/auth/me
[Sat Nov  8 07:16:14 2025] [::1]:63009 Closing
[Sat Nov  8 07:16:14 2025] [::1]:62706 Accepted
[Sat Nov  8 07:16:14 2025] [::1]:62706 [200]: GET /api/auth/me
[Sat Nov  8 07:16:14 2025] [::1]:62706 Closing
[Sat Nov  8 07:16:34 2025] [::1]:58437 Accepted
[Sat Nov  8 07:16:34 2025] [::1]:58437 [200]: GET /api/auth/me
[Sat Nov  8 07:16:34 2025] [::1]:58437 Closing
[Sat Nov  8 07:16:34 2025] [::1]:56552 Accepted
[Sat Nov  8 07:16:34 2025] [::1]:56552 [200]: GET /api/auth/me
[Sat Nov  8 07:16:34 2025] [::1]:56552 Closing
[Sat Nov  8 07:16:34 2025] [::1]:57599 Accepted
[Sat Nov  8 07:16:34 2025] [::1]:57599 [200]: GET /api/auth/me
[Sat Nov  8 07:16:34 2025] [::1]:57599 Closing
[Sat Nov  8 07:16:34 2025] [::1]:62618 Accepted
[Sat Nov  8 07:16:34 2025] [::1]:62618 [200]: GET /api/auth/me
[Sat Nov  8 07:16:34 2025] [::1]:62618 Closing
[Sat Nov  8 07:16:34 2025] [::1]:63351 Accepted
[Sat Nov  8 07:16:35 2025] [::1]:63351 [200]: GET /api/auth/me
[Sat Nov  8 07:16:35 2025] [::1]:63351 Closing
[Sat Nov  8 07:16:35 2025] [::1]:65254 Accepted
[Sat Nov  8 07:16:35 2025] [::1]:65254 [200]: GET /api/auth/me
[Sat Nov  8 07:16:35 2025] [::1]:65254 Closing
[Sat Nov  8 07:16:39 2025] [::1]:51783 Accepted
[Sat Nov  8 07:16:40 2025] [::1]:51783 [200]: GET /api/applications
[Sat Nov  8 07:16:40 2025] [::1]:51783 Closing
[Sat Nov  8 07:16:40 2025] [::1]:63698 Accepted
[Sat Nov  8 07:16:40 2025] [::1]:63698 [200]: GET /api/applications
[Sat Nov  8 07:16:40 2025] [::1]:63698 Closing
[Sat Nov  8 07:16:42 2025] [::1]:54662 Accepted
[Sat Nov  8 07:16:42 2025] [::1]:54662 [200]: GET /api/auth/me
[Sat Nov  8 07:16:42 2025] [::1]:54662 Closing
[Sat Nov  8 07:16:42 2025] [::1]:59632 Accepted
[Sat Nov  8 07:16:42 2025] [::1]:59632 [200]: GET /api/applications
[Sat Nov  8 07:16:42 2025] [::1]:59632 Closing
[Sat Nov  8 07:16:42 2025] [::1]:57971 Accepted
[Sat Nov  8 07:16:43 2025] [::1]:57971 [200]: GET /api/auth/me
[Sat Nov  8 07:16:43 2025] [::1]:57971 Closing
[Sat Nov  8 07:16:43 2025] [::1]:57159 Accepted
[Sat Nov  8 07:16:43 2025] [::1]:57159 [200]: GET /api/applications
[Sat Nov  8 07:16:43 2025] [::1]:57159 Closing
[Sat Nov  8 07:18:21 2025] [::1]:55761 Accepted
[Sat Nov  8 07:18:21 2025] [::1]:55761 [200]: GET /api/auth/me
[Sat Nov  8 07:18:21 2025] [::1]:55761 Closing
[Sat Nov  8 07:18:21 2025] [::1]:53457 Accepted
[Sat Nov  8 07:18:21 2025] [::1]:53457 [200]: GET /api/auth/me
[Sat Nov  8 07:18:21 2025] [::1]:53457 Closing
[Sat Nov  8 07:18:21 2025] [::1]:60803 Accepted
[Sat Nov  8 07:18:21 2025] [::1]:60803 [200]: GET /api/applications
[Sat Nov  8 07:18:21 2025] [::1]:60803 Closing
[Sat Nov  8 07:18:21 2025] [::1]:52495 Accepted
[Sat Nov  8 07:18:21 2025] [::1]:54398 Accepted
[Sat Nov  8 07:18:21 2025] [::1]:52495 [200]: GET /api/auth/me
[Sat Nov  8 07:18:21 2025] [::1]:52495 Closing
[Sat Nov  8 07:18:21 2025] [::1]:54398 [200]: GET /api/applications
[Sat Nov  8 07:18:21 2025] [::1]:54398 Closing
[Sat Nov  8 07:18:21 2025] [::1]:51231 Accepted
[Sat Nov  8 07:18:22 2025] [::1]:51231 [200]: GET /api/auth/me
[Sat Nov  8 07:18:22 2025] [::1]:51231 Closing
[Sat Nov  8 07:18:22 2025] [::1]:55335 Accepted
[Sat Nov  8 07:18:22 2025] [::1]:55335 [200]: GET /api/auth/me
[Sat Nov  8 07:18:22 2025] [::1]:55335 Closing
[Sat Nov  8 07:18:22 2025] [::1]:57722 Accepted
[Sat Nov  8 07:18:22 2025] [::1]:57722 [200]: GET /api/auth/me
[Sat Nov  8 07:18:22 2025] [::1]:57722 Closing
[Sat Nov  8 07:19:27 2025] [::1]:60672 Accepted
[Sat Nov  8 07:19:27 2025] [::1]:60672 [200]: POST /api/auth/logout
[Sat Nov  8 07:19:27 2025] [::1]:60672 Closing
[Sat Nov  8 07:20:07 2025] [::1]:62381 Accepted
[Sat Nov  8 07:20:07 2025] [::1]:62381 [200]: POST /api/auth/login
[Sat Nov  8 07:20:07 2025] [::1]:62381 Closing
[Sat Nov  8 07:20:08 2025] [::1]:53666 Accepted
[Sat Nov  8 07:20:08 2025] [::1]:53666 [200]: GET /api/auth/me
[Sat Nov  8 07:20:08 2025] [::1]:53666 Closing
[Sat Nov  8 07:20:08 2025] [::1]:63556 Accepted
[Sat Nov  8 07:20:09 2025] [::1]:63556 [200]: GET /api/auth/me
[Sat Nov  8 07:20:09 2025] [::1]:63556 Closing
[Sat Nov  8 07:20:09 2025] [::1]:63826 Accepted
[Sat Nov  8 07:20:09 2025] [::1]:63826 [200]: GET /api/auth/me
[Sat Nov  8 07:20:09 2025] [::1]:63826 Closing
[Sat Nov  8 07:20:09 2025] [::1]:50603 Accepted
[Sat Nov  8 07:20:09 2025] [::1]:50603 [200]: GET /api/auth/me
[Sat Nov  8 07:20:09 2025] [::1]:50603 Closing
[Sat Nov  8 07:20:09 2025] [::1]:52877 Accepted
[Sat Nov  8 07:20:09 2025] [::1]:52877 [200]: GET /api/auth/me
[Sat Nov  8 07:20:09 2025] [::1]:52877 Closing
[Sat Nov  8 07:20:09 2025] [::1]:63487 Accepted
[Sat Nov  8 07:20:09 2025] [::1]:63487 [200]: GET /api/auth/me
[Sat Nov  8 07:20:09 2025] [::1]:63487 Closing
[Sat Nov  8 07:20:18 2025] [::1]:60217 Accepted
[Sat Nov  8 07:20:18 2025] [::1]:60217 [200]: GET /api/auth/me
[Sat Nov  8 07:20:18 2025] [::1]:60217 Closing
[Sat Nov  8 07:20:18 2025] [::1]:64877 Accepted
[Sat Nov  8 07:20:18 2025] [::1]:64877 [200]: GET /api/applications
[Sat Nov  8 07:20:18 2025] [::1]:64877 Closing
[Sat Nov  8 07:20:18 2025] [::1]:59609 Accepted
[Sat Nov  8 07:20:19 2025] [::1]:59609 [200]: GET /api/auth/me
[Sat Nov  8 07:20:19 2025] [::1]:59609 Closing
[Sat Nov  8 07:20:19 2025] [::1]:51622 Accepted
[Sat Nov  8 07:20:19 2025] [::1]:51622 [200]: GET /api/applications
[Sat Nov  8 07:20:19 2025] [::1]:51622 Closing
[Sat Nov  8 07:20:36 2025] [::1]:56622 Accepted
[Sat Nov  8 07:20:36 2025] [::1]:56622 [200]: GET /api/auth/me
[Sat Nov  8 07:20:36 2025] [::1]:56622 Closing
[Sat Nov  8 07:20:36 2025] [::1]:61943 Accepted
[Sat Nov  8 07:20:36 2025] [::1]:61943 [200]: GET /api/auth/me
[Sat Nov  8 07:20:36 2025] [::1]:61943 Closing
[Sat Nov  8 07:20:36 2025] [::1]:60383 Accepted
[Sat Nov  8 07:20:37 2025] [::1]:60383 [200]: GET /api/auth/me
[Sat Nov  8 07:20:37 2025] [::1]:60383 Closing
[Sat Nov  8 07:20:37 2025] [::1]:50767 Accepted
[Sat Nov  8 07:20:37 2025] [::1]:50767 [200]: GET /api/auth/me
[Sat Nov  8 07:20:37 2025] [::1]:50767 Closing
[Sat Nov  8 07:20:37 2025] [::1]:51110 Accepted
[Sat Nov  8 07:20:37 2025] [::1]:51110 [200]: GET /api/auth/me
[Sat Nov  8 07:20:37 2025] [::1]:51110 Closing
[Sat Nov  8 07:20:37 2025] [::1]:57956 Accepted
[Sat Nov  8 07:20:37 2025] [::1]:57956 [200]: GET /api/auth/me
[Sat Nov  8 07:20:37 2025] [::1]:57956 Closing
[Sat Nov  8 07:20:50 2025] [::1]:63095 Accepted
[Sat Nov  8 07:20:50 2025] [::1]:63095 [200]: GET /api/auth/me
[Sat Nov  8 07:20:50 2025] [::1]:63095 Closing
[Sat Nov  8 07:20:50 2025] [::1]:64006 Accepted
[Sat Nov  8 07:20:50 2025] [::1]:64006 [200]: GET /api/applications
[Sat Nov  8 07:20:50 2025] [::1]:64006 Closing
[Sat Nov  8 07:20:50 2025] [::1]:62430 Accepted
[Sat Nov  8 07:20:50 2025] [::1]:62430 [200]: GET /api/auth/me
[Sat Nov  8 07:20:50 2025] [::1]:62430 Closing
[Sat Nov  8 07:20:50 2025] [::1]:57499 Accepted
[Sat Nov  8 07:20:50 2025] [::1]:57499 [200]: GET /api/applications
[Sat Nov  8 07:20:50 2025] [::1]:57499 Closing
[Sat Nov  8 07:20:51 2025] [::1]:65338 Accepted
[Sat Nov  8 07:20:52 2025] [::1]:65338 [200]: GET /api/applications
[Sat Nov  8 07:20:52 2025] [::1]:65338 Closing
[Sat Nov  8 07:20:52 2025] [::1]:60424 Accepted
[Sat Nov  8 07:20:52 2025] [::1]:60424 [200]: GET /api/applications
